393;0596249X;CFA NORD DE FRANCE FORMATECH;Autres CFA;PUBLIC;;;ZI DE CANTIMPR? - AVENUE DE L EUROPE;;;59400;FONTAINE NOTRE-DAME;;;;;;;
393;0596250Y;CEFRAL DUNKERQUE;Autres CFA;PRIVE;;;214 RUE DU CONTRE-TORPILLEUR \LE TRIOMPHANT\" BP 49";;;59951;DUNKERQUE CEDEX 1;;;;;;;
393;0596269U;FORMASUP - ITIAPE LESQUIN;CFA Superieur;PRIVE;;;DOMAINE D'ENGRAIN 28 RUE VICTOR HUGO;;;59810;LESQUIN;;;;;;;
393;0596312R;INSTITUT DE GENECH - HAZEBROUCK;CFA Agricole;PRIVE;;;101 RUE DE THEROUANNE;;;59523;HAZEBROUCK CEDEX;;;;;;;
393;0596329J;EPLEA DE DOUAI - LOMME;CFA Agricole;PUBLIC;;;RUE DE LA MITTERIE BP 329;;;59463;LOMME CEDEX;;;;;;;
393;0596342Y;CCI  GRAND LILLE - CEPRECO;Autres CFA;PUBLIC;;;45 AVENUE ANDR? CHENIER BP 145;;;59100;ROUBAIX;;;;;;;
393;0596343Z;FORMASUP -  BUSINESS SCHOOL LILLE;CFA Superieur;PRIVE;;;AVENUE WILLY BRANDT;;;59777;EURALILLE;;;;;;;
393;0596345B;INSTITUT DE GENECH - BAVAY;CFA Agricole;PRIVE;;;5 RUE DE LA CHAUSSEE;;;59570;BAVAY;;;;;;;
393;0596346C;CREPS - WATTIGNIES;Autres CFA;PUBLIC;;;11 RUE DE L'YSER BP 49;;;59635;WATTIGNIES CEDEX;;;;;;;
393;0596350G;CHAMBRE METIERS 59 - CAPPELLE;CFA Artisanat;PUBLIC;;;36 RUE VATEL BP 15;;;59180;CAPPELLE LA GRANDE;;;;;;;
393;0596440E;UFA LYCEE GASTON BERGER LILLE;CFA Academique;PUBLIC;;;AVENUE GASTON BERGER;;;59000;LILLE;;;;;;;
393;0596453U;INST. PROF. ST LOUIS - LA BASSEE;Autres CFA;PRIVE;;;28 RUE GENERAL LECLERC;;;59480;LA BASSEE;;;;;;;
393;0596456X;AGAT - WASQUEHAL;Autres CFA;PRIVE;;;45 RUE HARALD STAMMBACK BP 61;;;59442;WASQUEHAL CEDEX;;;;;;;
393;0596457Y;ADEFA - UFA LYC?E BAGGIO LILLE;Autres CFA;PRIVE;;;23 BOULEVARD D'ALSACE BP 79;;;59043;LILLE CEDEX;;;;;;;
393;0596460B;AGAT - VILLENEUVE D ASCQ;Autres CFA;PRIVE;;;RUE JOHN HADLEY;;;59650;VILLENEUVE D'ASCQ;;;;;;;
393;0596473R;ASSIFA - CFPB;Autres CFA;PRIVE;;;IMMEUBLE MERCURY 30 PLACE SALVADOR ALLENDE;;;59650;VILLENEUVE D'ASCQ;;;;;;;
393;0596477V;FORMASUP - ENSAIT ROUBAIX;CFA Superieur;PRIVE;;;2 ALLEE LOUISE ET VICTOR CHAMPIER;BP 30329;;59056;ROUBAIX CEDEX 01;;;;;;;
393;0596478W;FORMASUP - ENIC VILLENEUVE D ASCQ;CFA Superieur;PRIVE;;;CITE SCIENTIFIQUE UNIVERSITE DE LILLE 1 RUE GUGLIE;;;59658;VILLENEUVE D'ASCQ CEDEX;;;;;;;
393;0596480Y;ADAMSS IRTS LOOS;Autres CFA;PRIVE;;;RUE AMBROISE PARE;;;59373;LOOS CEDEX;;;;;;;
393;0596481Z;ARCPP - LILLE;Autres CFA;PRIVE;;;CHRU - INSTITUT GERNEZ RIEUX - 2 RUE DU DOCTEUR SC;;;59037;LILLE CEDEX 7;;;;;;;
393;0596514K;ADEFA - UFA LYCEE TURGOT ROUBAIX;Autres CFA;PRIVE;;;2 RUE DE LA PAIX BP 135;;;59035;ROUBAIX CEDEX 1;;;;;;;
393;0596553D;FORMASUP - IESEG LILLE;CFA Superieur;PRIVE;;;3 RUE DE LA DIGUE;;;59000;LILLE;;;;;;;
393;0596606K;FORMASUP - ASSIFA;CFA Superieur;PRIVE;;;IMMEUBLE MERCURY 30 PLACE SALVADOR ALLENDE;;;59650;VILLENEUVE D'ASCQ;;;;;;;
393;0596685W;UFA LP LOUIS BLERIOT CAMBRAI;CFA Academique;PUBLIC;;;RUE GAUTHIER;;;59400;CAMBRAI;;;;;;;
393;0596686X;UFA LP EDOUARD LALO LILLE;CFA Academique;PUBLIC;;;11 RUE THIONVILLE;;;59800;LILLE;;;;;;;
393;0596687Y;UFA LP AUTOMOBILE MARCQ-EN-BAROEUL;CFA Academique;PUBLIC;;;129, RUE DE LA BRIQUETTERIE;;;59700;MARCQ EN BAROEUL;;;;;;;
